symbol,name,fyers_symbol
BAJAJHFL,Bajaj Housing Finance Limited,NSE:BAJAJHFL-EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,NSE:BAJAJHIND-EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,NSE:BAJAJHLDNG-EQ
BAJAJINDEF,Indef Manufacturing Limited,NSE:BAJAJINDEF-EQ
BAJAJST,Bajaj Steel Industries Limited,NSE:BAJAJST-EQ
BAJEL,Bajel Projects Limited,NSE:BAJEL-EQ
BAJFINANCE,Bajaj Finance Limited,NSE:BAJFINANCE-EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,NSE:BALAJEE-EQ
BALAJITELE,Balaji Telefilms Limited,NSE:BALAJITELE-EQ
BALAMINES,Balaji Amines Limited,NSE:BALAMINES-EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,NSE:BALAXI-EQ
BALKRISHNA,Balkrishna Paper Mills Limited,NSE:BALKRISHNA-EQ
BALKRISIND,Balkrishna Industries Limited,NSE:BALKRISIND-EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,NSE:BALMLAWRIE-EQ
BALPHARMA,Bal Pharma Limited,NSE:BALPHARMA-EQ
BALRAMCHIN,Balrampur Chini Mills Limited,NSE:BALRAMCHIN-EQ
BALUFORGE,Balu Forge Industries Limited,NSE:BALUFORGE-EQ
BANARBEADS,Banaras Beads Limited,NSE:BANARBEADS-EQ
BANARISUG,Bannari Amman Sugars Limited,NSE:BANARISUG-EQ
BANCOINDIA,Banco Products (I) Limited,NSE:BANCOINDIA-EQ
BANDHANBNK,Bandhan Bank Limited,NSE:BANDHANBNK-EQ
BANG,Bang Overseas Limited,NSE:BANG-EQ
BANKA,Banka BioLoo Limited,NSE:BANKA-EQ
BANKBARODA,Bank of Baroda,NSE:BANKBARODA-EQ
BANKINDIA,Bank of India,NSE:BANKINDIA-EQ
BANSALWIRE,Bansal Wire Industries Limited,NSE:BANSALWIRE-EQ
BANSWRAS,Banswara Syntex Limited,NSE:BANSWRAS-EQ
BASF,BASF India Limited,NSE:BASF-EQ
BATAINDIA,Bata India Limited,NSE:BATAINDIA-EQ
BATLIBOI,Batliboi Limited,NSE:BATLIBOI-EQ
BAYERCROP,Bayer Cropscience Limited,NSE:BAYERCROP-EQ
BBL,Bharat Bijlee Limited,NSE:BBL-EQ
BBOX,Black Box Limited,NSE:BBOX-EQ
BBTC,The Bombay Burmah Trading Corporation Limited,NSE:BBTC-EQ
BBTCL,B&B Triplewall Containers Limited,NSE:BBTCL-EQ
BCG,Brightcom Group Limited,NSE:BCG-EQ
BCLIND,Bcl Industries Limited,NSE:BCLIND-EQ
BCONCEPTS,Brand Concepts Limited,NSE:BCONCEPTS-EQ
BCPL,BCPL Railway Infrastructure Limited,NSE:BCPL-EQ
BDL,Bharat Dynamics Limited,NSE:BDL-EQ
BEARDSELL,Beardsell Limited,NSE:BEARDSELL-EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,NSE:BECTORFOOD-EQ
BEDMUTHA,Bedmutha Industries Limited,NSE:BEDMUTHA-EQ
BEEKAY,Beekay Steel Industries Limited,NSE:BEEKAY-EQ
BEL,Bharat Electronics Limited,NSE:BEL-EQ
BELLACASA,Bella Casa Fashion & Retail Limited,NSE:BELLACASA-EQ
BELRISE,Belrise Industries Limited,NSE:BELRISE-EQ
BEML,BEML Limited,NSE:BEML-EQ
BENARAS,Benares Hotels Limited,NSE:BENARAS-EQ
BENGALASM,Bengal & Assam Company Limited,NSE:BENGALASM-EQ
BEPL,Bhansali Engineering Polymers Limited,NSE:BEPL-EQ
BERGEPAINT,Berger Paints (I) Limited,NSE:BERGEPAINT-EQ
BESTAGRO,Best Agrolife Limited,NSE:BESTAGRO-EQ
BETA,Beta Drugs Limited,NSE:BETA-EQ
BFINVEST,BF Investment Limited,NSE:BFINVEST-EQ
BFUTILITIE,BF Utilities Limited,NSE:BFUTILITIE-EQ
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE:BHAGCHEM-EQ
BHAGYANGR,Bhagyanagar India Limited,NSE:BHAGYANGR-EQ
BHANDARI,Bhandari Hosiery Exports Limited,NSE:BHANDARI-EQ
BHARATCOAL,Bharat Coking Coal Limited,NSE:BHARATCOAL-EQ
BHARATFORG,Bharat Forge Limited,NSE:BHARATFORG-EQ
BHARATRAS,Bharat Rasayan Limited,NSE:BHARATRAS-EQ
BHARATSE,Bharat Seats Limited,NSE:BHARATSE-EQ
BHARATWIRE,Bharat Wire Ropes Limited,NSE:BHARATWIRE-EQ
BHARTIARTL,Bharti Airtel Limited,NSE:BHARTIARTL-EQ
BHARTIHEXA,Bharti Hexacom Limited,NSE:BHARTIHEXA-EQ
BHEL,Bharat Heavy Electricals Limited,NSE:BHEL-EQ
BIGBLOC,Bigbloc Construction Limited,NSE:BIGBLOC-EQ
BIKAJI,Bikaji Foods International Limited,NSE:BIKAJI-EQ
BIL,Bhartiya International Limited,NSE:BIL-EQ
BIMETAL,Bimetal Bearings Limited,NSE:BIMETAL-EQ
BIOCON,Biocon Limited,NSE:BIOCON-EQ
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,NSE:BIOFILCHEM-EQ
BIRLACABLE,Birla Cable Limited,NSE:BIRLACABLE-EQ
BIRLACORPN,Birla Corporation Limited,NSE:BIRLACORPN-EQ
BIRLAMONEY,Aditya Birla Money Limited,NSE:BIRLAMONEY-EQ
BIRLANU,BirlaNu Limited,NSE:BIRLANU-EQ
BIRLAPREC,Birla Precision Technologies Limited,NSE:BIRLAPREC-EQ
BLACKBUCK,BLACKBUCK LIMITED,NSE:BLACKBUCK-EQ
BLAL,BEML Land Assets Limited,NSE:BLAL-EQ
BLBLIMITED,BLB Limited,NSE:BLBLIMITED-EQ
BLEL,Behari Lal Engineering Limited,NSE:BLEL-EQ
BLIL,Balmer Lawrie Investments Limited,NSE:BLIL-EQ
BLKASHYAP,B. L. Kashyap and Sons Limited,NSE:BLKASHYAP-EQ
BLS,BLS International Services Limited,NSE:BLS-EQ
BLSE,BLS E-Services Limited,NSE:BLSE-EQ
BLUECLOUDS,Blue Cloud Softech Solutions Limited,NSE:BLUECLOUDS-EQ
BLUECOAST,Blue Coast Hotels Limited,NSE:BLUECOAST-EQ
BLUEDART,Blue Dart Express Limited,NSE:BLUEDART-EQ
BLUEJET,Blue Jet Healthcare Limited,NSE:BLUEJET-EQ
BLUESTARCO,Blue Star Limited,NSE:BLUESTARCO-EQ
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE:BLUESTONE-EQ
BLUSPRING,Bluspring Enterprises Limited,NSE:BLUSPRING-EQ
BMWVENTLTD,BMW Ventures Limited,NSE:BMWVENTLTD-EQ
BNAGROCHEM,BN Agrochem Limited,NSE:BNAGROCHEM-EQ
BODALCHEM,Bodal Chemicals Limited,NSE:BODALCHEM-EQ
BOHRAIND,Bohra Industries Limited,NSE:BOHRAIND-EQ
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE:BOMDYEING-EQ
BONLON,Bonlon Industries Limited,NSE:BONLON-EQ
BORANA,Borana Weaves Limited,NSE:BORANA-EQ
BOROLTD,Borosil Limited,NSE:BOROLTD-EQ
BORORENEW,BOROSIL RENEWABLES LIMITED,NSE:BORORENEW-EQ
BOROSCI,Borosil Scientific Limited,NSE:BOROSCI-EQ
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,NSE:BOSCH-HCIL-EQ
BOSCHLTD,Bosch Limited,NSE:BOSCHLTD-EQ
BPCL,Bharat Petroleum Corporation Limited,NSE:BPCL-EQ
BPL,BPL Limited,NSE:BPL-EQ
BPLPHARMA,Bharat Parenterals Limited,NSE:BPLPHARMA-EQ
BRAHMINFRA,Brahmaputra Infrastructure Limited,NSE:BRAHMINFRA-EQ
BRIGADE,Brigade Enterprises Limited,NSE:BRIGADE-EQ
BRIGHOTEL,Brigade Hotel Ventures Limited,NSE:BRIGHOTEL-EQ
BRIGHTBR,Bright Brothers Limited,NSE:BRIGHTBR-EQ
BRITANNIA,Britannia Industries Limited,NSE:BRITANNIA-EQ
BRNL,Bharat Road Network Limited,NSE:BRNL-EQ
BROOKS,Brooks Laboratories Limited,NSE:BROOKS-EQ
BSE,BSE Limited,NSE:BSE-EQ
BSHSL,Bombay Super Hybrid Seeds Limited,NSE:BSHSL-EQ
BSL,BSL Limited,NSE:BSL-EQ
BSOFT,BIRLASOFT LIMITED,NSE:BSOFT-EQ
BTML,Bodhi Tree Multimedia Limited,NSE:BTML-EQ
BUILDPRO,Shankara Buildpro Limited,NSE:BUILDPRO-EQ
BURNPUR,Burnpur Cement Limited,NSE:BURNPUR-EQ
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE:BUTTERFLY-EQ
BVCL,Barak Valley Cements Limited,NSE:BVCL-EQ
CAMLINFINE,Camlin Fine Sciences Limited,NSE:CAMLINFINE-EQ
CAMPUS,Campus Activewear Limited,NSE:CAMPUS-EQ
CAMS,Computer Age Management Services Limited,NSE:CAMS-EQ
CANBK,Canara Bank,NSE:CANBK-EQ
CANFINHOME,Can Fin Homes Limited,NSE:CANFINHOME-EQ
CANHLIFE,Canara HSBC Life Insurance Company Limited,NSE:CANHLIFE-EQ
CANTABIL,Cantabil Retail India Limited,NSE:CANTABIL-EQ
CAPACITE,Capacit'e Infraprojects Limited,NSE:CAPACITE-EQ
CAPILLARY,Capillary Technologies India Limited,NSE:CAPILLARY-EQ
CAPITALSFB,Capital Small Finance Bank Limited,NSE:CAPITALSFB-EQ
